Data,Máxima,Mínima,Previsão
2021.12.03 01:15:00,1.13059,1.12971,1.1298528
2021.12.03 01:30:00,1.13066,1.1301,1.1299846
2021.12.03 01:45:00,1.13066,1.13014,1.1302433
2021.12.03 02:00:00,1.13066,1.12997,1.1304178
2021.12.03 02:15:00,1.13066,1.12907,1.130428
2021.12.03 02:30:00,1.13045,1.12899,1.1304488
2021.12.03 02:45:00,1.13022,1.12899,1.1302564
2021.12.03 03:00:00,1.13015,1.12899,1.13007
2021.12.03 03:15:00,1.13015,1.12899,1.1294723
2021.12.03 03:30:00,1.13015,1.12926,1.1292806
2021.12.03 03:45:00,1.13015,1.12917,1.1295793
2021.12.03 04:00:00,1.12985,1.12917,1.1298307
2021.12.03 04:15:00,1.12988,1.12917,1.1296039
2021.12.03 04:30:00,1.13004,1.12917,1.1294606
2021.12.03 04:45:00,1.13004,1.12938,1.1293653
2021.12.03 05:00:00,1.13004,1.12921,1.1294131
2021.12.03 05:15:00,1.13004,1.12921,1.12967
2021.12.03 05:30:00,1.12992,1.12921,1.1298035
2021.12.03 05:45:00,1.12992,1.12921,1.1296041
2021.12.03 06:00:00,1.12992,1.12922,1.1293644
2021.12.03 06:15:00,1.12992,1.12949,1.1294423
2021.12.03 06:30:00,1.12992,1.12949,1.129707
2021.12.03 06:45:00,1.12989,1.12949,1.129726
2021.12.03 07:00:00,1.13016,1.12958,1.1296343
2021.12.03 07:15:00,1.13016,1.12958,1.129718
2021.12.03 07:30:00,1.13016,1.12947,1.1297146
2021.12.03 07:45:00,1.13016,1.12928,1.1297259
2021.12.03 08:00:00,1.12991,1.12814,1.129834
2021.12.03 08:15:00,1.12982,1.12809,1.1297745
2021.12.03 08:30:00,1.12963,1.12809,1.1296364
2021.12.03 08:45:00,1.12928,1.12809,1.1293983
2021.12.03 09:00:00,1.12929,1.12809,1.1286298
2021.12.03 09:15:00,1.12961,1.12817,1.1283296
2021.12.03 09:30:00,1.1299,1.12833,1.128399
2021.12.03 09:45:00,1.1299,1.12853,1.1286234
2021.12.03 10:00:00,1.1299,1.12842,1.1289355
2021.12.03 10:15:00,1.1299,1.12842,1.1293298
2021.12.03 10:30:00,1.12976,1.12842,1.1295466
2021.12.03 10:45:00,1.12947,1.12842,1.1292388
2021.12.03 11:00:00,1.12971,1.12848,1.1289202
2021.12.03 11:15:00,1.13032,1.12848,1.129116
2021.12.03 11:30:00,1.13063,1.12848,1.1289839
2021.12.03 11:45:00,1.13138,1.12903,1.1289244
2021.12.03 12:00:00,1.13138,1.12941,1.1293846
2021.12.03 12:15:00,1.13138,1.12981,1.1299127
2021.12.03 12:30:00,1.13155,1.13031,1.130277
2021.12.03 12:45:00,1.13155,1.13007,1.1308558
2021.12.03 13:00:00,1.13155,1.13007,1.1307513
2021.12.03 13:15:00,1.13155,1.13007,1.1310565
2021.12.03 13:30:00,1.13126,1.13007,1.1311486
2021.12.03 13:45:00,1.13126,1.13014,1.1305342
2021.12.03 14:00:00,1.13126,1.12938,1.1305763
2021.12.03 14:15:00,1.13126,1.12873,1.1308653
2021.12.03 14:30:00,1.13099,1.12873,1.1310108
2021.12.03 14:45:00,1.13328,1.12873,1.1308041
2021.12.03 15:00:00,1.13328,1.12873,1.1300579
2021.12.03 15:15:00,1.13328,1.12853,1.12922
2021.12.03 15:30:00,1.13328,1.12853,1.1290857
2021.12.03 15:45:00,1.13144,1.12853,1.1308961
2021.12.03 16:00:00,1.13098,1.12836,1.1305951
2021.12.03 16:15:00,1.1305,1.12752,1.1296743
2021.12.03 16:30:00,1.1305,1.12712,1.1295495
2021.12.03 16:45:00,1.12944,1.12659,1.1293417
2021.12.03 17:00:00,1.12924,1.12659,1.1291023
2021.12.03 17:15:00,1.12916,1.12659,1.1281651
2021.12.03 17:30:00,1.12959,1.12659,1.1274911
2021.12.03 17:45:00,1.13037,1.12695,1.127405
2021.12.03 18:00:00,1.13091,1.1276,1.127627
2021.12.03 18:15:00,1.131,1.12843,1.1284599
2021.12.03 18:30:00,1.131,1.12937,1.1291273
2021.12.03 18:45:00,1.13135,1.12954,1.1297977
2021.12.03 19:00:00,1.13135,1.13004,1.130366
2021.12.03 19:15:00,1.13135,1.13022,1.1303761
2021.12.03 19:30:00,1.13165,1.13058,1.1305707
2021.12.03 19:45:00,1.13234,1.13068,1.1309174
2021.12.03 20:00:00,1.13264,1.13072,1.1309466
2021.12.03 20:15:00,1.13264,1.13072,1.1308883
2021.12.03 20:30:00,1.13264,1.13158,1.1312479
2021.12.03 20:45:00,1.13264,1.13151,1.131864
2021.12.03 21:00:00,1.13258,1.13109,1.1322489
2021.12.03 21:15:00,1.13253,1.13072,1.1323338
2021.12.03 21:30:00,1.13229,1.13067,1.132279
2021.12.03 21:45:00,1.13169,1.13046,1.1318493
2021.12.03 22:00:00,1.13141,1.13004,1.131325
2021.12.03 22:15:00,1.13098,1.13004,1.131021
2021.12.03 22:30:00,1.13098,1.13004,1.1308068
2021.12.03 22:45:00,1.13098,1.13004,1.130602
2021.12.03 23:00:00,1.13098,1.1306,1.130603
2021.12.03 23:15:00,1.13097,1.13004,1.1307931
2021.12.03 23:30:00,1.13097,1.13004,1.130849
2021.12.03 23:45:00,1.13097,1.13004,1.1307869
2021.12.06 00:00:00,1.13087,1.13004,1.1306934
2021.12.06 00:15:00,1.13096,1.1301,1.1304474
2021.12.06 00:30:00,1.13096,1.1301,1.1305217
2021.12.06 00:45:00,1.13096,1.1301,1.1307026
2021.12.06 01:00:00,1.13096,1.1301,1.1306907
2021.12.06 01:15:00,1.13079,1.12999,1.1304002
2021.12.06 01:30:00,1.13079,1.12984,1.1304568
2021.12.06 01:45:00,1.13071,1.12937,1.1305815
2021.12.06 02:00:00,1.13035,1.12904,1.1304432
2021.12.06 02:15:00,1.13035,1.12876,1.1301266
2021.12.06 02:30:00,1.12998,1.12876,1.1300226
2021.12.06 02:45:00,1.12952,1.12876,1.1296425
2021.12.06 03:00:00,1.12947,1.12876,1.1293137
2021.12.06 03:15:00,1.12958,1.12876,1.128981
2021.12.06 03:30:00,1.12958,1.1288,1.1289568
2021.12.06 03:45:00,1.12958,1.12908,1.1290702
2021.12.06 04:00:00,1.12958,1.12903,1.1292576
2021.12.06 04:15:00,1.12949,1.12896,1.1293538
2021.12.06 04:30:00,1.12949,1.1288,1.1292835
2021.12.06 04:45:00,1.12935,1.12878,1.1293124
2021.12.06 05:00:00,1.12925,1.12878,1.1291473
2021.12.06 05:15:00,1.12925,1.12878,1.1290505
2021.12.06 05:30:00,1.12926,1.12878,1.128888
2021.12.06 05:45:00,1.12926,1.12887,1.1289461
2021.12.06 06:00:00,1.12926,1.12868,1.1290867
2021.12.06 06:15:00,1.12926,1.1285,1.1291475
2021.12.06 06:30:00,1.12921,1.1285,1.1290847
2021.12.06 06:45:00,1.12901,1.12844,1.1290169
2021.12.06 07:00:00,1.1288,1.12809,1.1287992
2021.12.06 07:15:00,1.1288,1.12804,1.1286563
2021.12.06 07:30:00,1.12871,1.12804,1.1286126
2021.12.06 07:45:00,1.12863,1.12801,1.1285211
2021.12.06 08:00:00,1.12857,1.12793,1.1282872
